node1,node2,123risksum
[-73.93955925  40.65606275],[-73.94053215  40.65600154],2.0
[-73.88190964  40.70185979],[-73.88167761  40.70128011],3.0
[-73.74727552  40.67653773],[-73.74647258  40.67629823],3.0
[-73.94195261  40.85171197],[-73.94290575  40.84995584],2.0
[-74.00911936  40.63246391],[-74.00773968  40.63163009],3.0
[-73.97240596  40.69588872],[-73.97187262  40.69320985],2.0
[-73.89969117  40.8868092 ],[-73.89837157  40.88946266],3.0
[-73.75233438  40.72026246],[-73.75181418  40.72049763],1.0
[-73.90879653  40.69107475],[-73.91024374  40.6896008 ],3.0
[-73.77809     40.67668223],[-73.77856299  40.67730694],2.0
[-73.83366913  40.68142057],[-73.83279304  40.68167298],2.0
[-73.8838201   40.85149929],[-73.88328122  40.85256371],2.0
[-73.9524643   40.78651043],[-73.95092813  40.78586538],2.0
[-73.82975903  40.83698076],[-73.82840491  40.83750805],3.0
[-73.95277808  40.69646501],[-73.95262193  40.69567596],3.0
[-73.78454463  40.59507661],[-73.78429108  40.59244607],2.0
[-73.9932954   40.67847947],[-73.99537354  40.67948243],3.0
[-73.98443161  40.72876844],[-73.98222814  40.7278459 ],4.0
[-73.91438765  40.8464538 ],[-73.91394725  40.84707764],3.0
[-73.99429211  40.69853508],[-73.9927083   40.69809926],2.0
[-73.94074636  40.72015571],[-73.94062373  40.71943476],3.0
[-74.01096714  40.716303  ],[-74.00923907  40.71552017],3.0
[-73.98482931  40.68692928],[-73.98266032  40.68608648],3.0
[-73.94195261  40.85171197],[-73.94290575  40.84995584],2.0
[-74.17413145  40.53785809],[-74.17468543  40.53879442],2.0
[-73.82685468  40.68970954],[-73.82587322  40.68770865],1.0
[-73.87538616  40.75276302],[-73.87501521  40.75072451],4.0
[-74.02423775  40.63285893],[-74.02452014  40.63216736],5.0
[-73.97670006  40.73940973],[-73.9777352   40.73986046],2.0
[-73.92251613  40.83163278],[-73.92122334  40.83383269],2.0
[-74.11754902  40.63695363],[-74.11975175  40.63666668],2.0
[-73.90430518  40.85588758],[-73.90472622  40.85537039],6.0
[-73.92687134  40.77977201],[-73.95651384  40.75784213],1.0
[-73.99346418  40.75219006],[-73.99297938  40.7528534 ],2.0
[-73.97076335  40.78842075],[-73.97360687  40.78961478],2.0
[-73.93995807  40.7083898 ],[-73.94163933  40.70823   ],3.0
